,world,football,commentisfree,australia-news,sport,uk-news,politics,environment,lifeandstyle,tv-and-radio,media,science,news
world,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
football,2.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commentisfree,3.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
australia-news,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sport,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uk-news,4.0,0.0,2.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
politics,3.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
environment,6.0,0.0,1.0,1.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0
lifeandstyle,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0
tv-and-radio,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0
media,4.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,11.0,0.0,0.0
science,9.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0
news,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
